date,quarter,report_period_end,effective_date,canonical_stock_id,ticker,stock_code,stock_name,institution_id,institution_type,institution_code,institution_short_name,institution_full_name,holding_shares_10k,holding_ratio,float_holding_ratio,source,record_status
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000538.SZ,000538.SZ,000538,云南白药,SINA:70304145,保险,70304145,中国平安人寿保险股份有限公司－...,中国平安人寿保险股份有限公司－自有资金,9750,9.36,9.36,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000538.SZ,000538.SZ,000538,云南白药,SINA:70304217,QFII,70304217,香港金融管理局－自有资金,香港金融管理局－自有资金,529.6709,0.51,0.51,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-26,CMIN-CN:000568.SZ,000568.SZ,000568,泸州老窖,SINA:001373,基金,001373,易方达新丝路混合,易方达新丝路混合,852.3682,0.58,0.61,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-26,CMIN-CN:000568.SZ,000568.SZ,000568,泸州老窖,SINA:110022,基金,110022,易方达消费行业股票,易方达消费行业股票,2328.1471,1.59,1.66,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-26,CMIN-CN:000568.SZ,000568.SZ,000568,泸州老窖,SINA:161725,基金,161725,招商中证白酒指数A,招商中证白酒指数A,1456.0006,0.99,1.04,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000596.SZ,000596.SZ,000596,古井贡酒,SINA:110022,基金,110022,易方达消费行业股票,易方达消费行业股票,830.7868,1.65,2.17,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-28,CMIN-CN:000596.SZ,000596.SZ,000596,古井贡酒,SINA:180012,基金,180012,银华富裕主题混合A,银华富裕主题混合A,693.6487,1.38,1.81,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000651.SZ,000651.SZ,000651,格力电器,SINA:70010101,全国社保,70010101,全国社保基金一零一组合,全国社保基金一零一组合,4763.9551,0.79,0.79,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000651.SZ,000651.SZ,000651,格力电器,SINA:70010108,全国社保,70010108,全国社保基金一零八组合,全国社保基金一零八组合,4898.3963,0.81,0.81,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000651.SZ,000651.SZ,000651,格力电器,SINA:70303107,QFII,70303107,高瓴资本管理有限公司－HCM中国基...,高瓴资本管理有限公司－HCM中国基金,5045.71,0.84,0.84,Sina Finance via AKShare,monthly_asof_institution_holding
