date,src_institution_id,src_institution_name,dst_ticker,dst_canonical_stock_id,relation_type,holding_ratio,float_holding_ratio,edge_weight,quarter,report_period_end,effective_date,source,record_status
2018-04-30,SINA:110022,易方达消费行业股票,000568.SZ,CMIN-CN:000568.SZ,institution_holds_stock,1.59,1.66,1.59,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:161725,招商中证白酒指数A,000568.SZ,CMIN-CN:000568.SZ,institution_holds_stock,0.99,1.04,0.99,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:110022,易方达消费行业股票,000596.SZ,CMIN-CN:000596.SZ,institution_holds_stock,1.65,2.17,1.65,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:180012,银华富裕主题混合A,000596.SZ,CMIN-CN:000596.SZ,institution_holds_stock,1.38,1.81,1.38,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010101,全国社保基金一零一组合,000651.SZ,CMIN-CN:000651.SZ,institution_holds_stock,0.79,0.79,0.79,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010108,全国社保基金一零八组合,000651.SZ,CMIN-CN:000651.SZ,institution_holds_stock,0.81,0.81,0.81,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70303107,高瓴资本管理有限公司－HCM中国基金,000651.SZ,CMIN-CN:000651.SZ,institution_holds_stock,0.84,0.84,0.84,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001417,汇添富医疗服务灵活配置混合A,000661.SZ,CMIN-CN:000661.SZ,institution_holds_stock,1.16,1.16,1.16,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:050009,博时新兴成长混合,000661.SZ,CMIN-CN:000661.SZ,institution_holds_stock,0.9,0.9,0.9,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:070032,嘉实优化红利混合A,000661.SZ,CMIN-CN:000661.SZ,institution_holds_stock,0.87,0.87,0.87,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:110003,易方达上证50增强A,000661.SZ,CMIN-CN:000661.SZ,institution_holds_stock,1.19,1.19,1.19,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010115,全国社保基金一一五组合,000661.SZ,CMIN-CN:000661.SZ,institution_holds_stock,1.38,1.38,1.38,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010118,全国社保基金一一八组合,000661.SZ,CMIN-CN:000661.SZ,institution_holds_stock,2.05,2.05,2.05,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010101,全国社保基金一零一组合,000725.SZ,CMIN-CN:000725.SZ,institution_holds_stock,0.69,0.71,0.69,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010108,全国社保基金一零八组合,000725.SZ,CMIN-CN:000725.SZ,institution_holds_stock,1.27,1.3,1.27,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:160630,鹏华中证国防指数(LOF)A,000768.SZ,CMIN-CN:000768.SZ,institution_holds_stock,1.38,1.38,1.38,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:161024,富国中证军工指数A,000768.SZ,CMIN-CN:000768.SZ,institution_holds_stock,1.08,1.08,1.08,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70303915,国华人寿保险股份有限公司－自有资金,000768.SZ,CMIN-CN:000768.SZ,institution_holds_stock,0.83,0.83,0.83,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001511,兴全新视野定期开放混合型发起式,000786.SZ,CMIN-CN:000786.SZ,institution_holds_stock,0.35,0.44,0.35,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:002001,华夏回报混合A,000786.SZ,CMIN-CN:000786.SZ,institution_holds_stock,0.65,0.83,0.65,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:260110,景顺长城精选蓝筹混合,000786.SZ,CMIN-CN:000786.SZ,institution_holds_stock,0.5,0.64,0.5,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:260116,景顺长城核心竞争力混合A类,000786.SZ,CMIN-CN:000786.SZ,institution_holds_stock,0.45,0.57,0.45,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:340007,兴全社会责任混合,000786.SZ,CMIN-CN:000786.SZ,institution_holds_stock,0.58,0.73,0.58,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:340008,兴全有机增长混合,000786.SZ,CMIN-CN:000786.SZ,institution_holds_stock,0.72,0.91,0.72,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010101,全国社保基金一零一组合,000786.SZ,CMIN-CN:000786.SZ,institution_holds_stock,2.59,3.28,2.59,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:110022,易方达消费行业股票,000858.SZ,CMIN-CN:000858.SZ,institution_holds_stock,0.64,0.64,0.64,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:163417,兴全合宜混合A,000858.SZ,CMIN-CN:000858.SZ,institution_holds_stock,0.44,0.44,0.44,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70304274,澳门金融管理局－自有资金,000858.SZ,CMIN-CN:000858.SZ,institution_holds_stock,0.42,0.42,0.42,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80044863,UBS AG,000858.SZ,CMIN-CN:000858.SZ,institution_holds_stock,0.43,0.43,0.43,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010103,全国社保基金一零三组合,000876.SZ,CMIN-CN:000876.SZ,institution_holds_stock,1.07,1.08,1.07,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:166024,中欧恒利三年定期开放混合,000895.SZ,CMIN-CN:000895.SZ,institution_holds_stock,0.49,0.49,0.49,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010101,全国社保基金一零一组合,000895.SZ,CMIN-CN:000895.SZ,institution_holds_stock,0.5,0.5,0.5,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010103,全国社保基金一零三组合,000895.SZ,CMIN-CN:000895.SZ,institution_holds_stock,0.55,0.55,0.55,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80067515,GIC PRIVATE LIMITED,000895.SZ,CMIN-CN:000895.SZ,institution_holds_stock,0.49,0.49,0.49,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010102,全国社保基金一零二组合,000963.SZ,CMIN-CN:000963.SZ,institution_holds_stock,1.25,1.4,1.25,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010106,全国社保基金一零六组合,000963.SZ,CMIN-CN:000963.SZ,institution_holds_stock,1.47,1.65,1.47,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010406,全国社保基金四零六组合,000963.SZ,CMIN-CN:000963.SZ,institution_holds_stock,1.35,1.51,1.35,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70304274,澳门金融管理局－自有资金,000963.SZ,CMIN-CN:000963.SZ,institution_holds_stock,0.57,0.63,0.57,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:000404,易方达新兴成长混合,000977.SZ,CMIN-CN:000977.SZ,institution_holds_stock,0.6,0.6,0.6,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:320006,诺安灵活配置混合,000977.SZ,CMIN-CN:000977.SZ,institution_holds_stock,0.53,0.53,0.53,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010502,全国社保基金五零二组合,000977.SZ,CMIN-CN:000977.SZ,institution_holds_stock,0.33,0.33,0.33,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
