date,src_ticker,dst_ticker,relation_type,shared_etf_ticker,shared_theme,shared_concept_count,edge_weight,source,record_status
2018-03-31,AAPL,NVDA,same_theme_etf_holding,ARKG,Biotechnology,1,0.00562631846775,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-04-30,AAPL,NVDA,same_theme_etf_holding,ARKG,Biotechnology,1,0.00562631846775,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-05-31,AAPL,NVDA,same_theme_etf_holding,ARKG,Biotechnology,1,0.00562631846775,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AAPL,AMZN,same_theme_etf_holding,ARKG,Biotechnology,1,0.00780359863902,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AAPL,DE,same_theme_etf_holding,ARKG,Biotechnology,1,0.00152776290431,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AAPL,MSFT,same_theme_etf_holding,ARKG,Biotechnology,1,0.00272333517806,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AAPL,NFLX,same_theme_etf_holding,ARKG,Biotechnology,1,0.00648754108806,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AAPL,NVDA,same_theme_etf_holding,ARKG,Biotechnology,1,0.00735864370511,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AAPL,PYPL,same_theme_etf_holding,ARKG,Biotechnology,1,0.0030396184807,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AAPL,TSLA,same_theme_etf_holding,ARKG,Biotechnology,1,0.0104349043379,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AMZN,DE,same_theme_etf_holding,ARKG,Biotechnology,1,0.00173407374407,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2018-06-30,AMZN,MSFT,same_theme_etf_holding,ARKG,Biotechnology,1,0.0030910974571,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
