date,stock_ticker,stock_name,etf_ticker,theme,report_date,filing_date,market_value,shares,source,record_status
2018-03-31,AAPL,Apple Inc.,ARKG,Biotechnology,2018-01-31,2018-03-28,902113,5388,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-03-31,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-01-31,2018-03-28,1106837,4503,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-03-31,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-01-31,2018-03-30,27189659,110617,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-04-30,AAPL,Apple Inc.,ARKG,Biotechnology,2018-01-31,2018-03-28,902113,5388,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-04-30,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-01-31,2018-03-28,1106837,4503,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-04-30,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-01-31,2018-03-30,27189659,110617,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,AAPL,Apple Inc.,ARKG,Biotechnology,2018-01-31,2018-03-28,902113,5388,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-03-31,2018-05-29,58798662,621222,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-01-31,2018-03-28,1106837,4503,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-01-31,2018-03-30,27189659,110617,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,AAPL,Apple Inc.,ARKG,Biotechnology,2018-04-30,2018-06-27,42164436,255140,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-03-31,2018-05-29,58798662,621222,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,AMZN,"Amazon.com, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,54321218,34685,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,AVGO,Broadcom Inc.,SMH,Semiconductor,2018-03-31,2018-06-08,53610846,227502,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,DE,Deere & Company,ARKG,Biotechnology,2018-04-30,2018-06-27,2082052,15385,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,MSFT,Microsoft Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,6615792,70742,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,NFLX,"Netflix, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,37543944,120156,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,48303122,214776,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-01-31,2018-03-30,27189659,110617,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,NVDA,NVIDIA Corporation,SMH,Semiconductor,2018-03-31,2018-06-08,54224019,234138,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,PYPL,"PayPal Holdings, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,8241719,110464,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,TSLA,"Tesla, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,97130717,330489,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,AAPL,Apple Inc.,ARKG,Biotechnology,2018-04-30,2018-06-27,42164436,255140,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-03-31,2018-05-29,58798662,621222,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,AMZN,"Amazon.com, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,54321218,34685,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,APD,"Air Products and Chemicals, Inc.",PBW,Clean Energy,2018-04-30,2018-07-09,3318668,20449,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,AVGO,Broadcom Inc.,SMH,Semiconductor,2018-03-31,2018-06-08,53610846,227502,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,DE,Deere & Company,ARKG,Biotechnology,2018-04-30,2018-06-27,2082052,15385,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,DHR,Danaher Corporation,CGW,Water,2018-05-31,2018-07-30,30051857,302698,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,DHR,Danaher Corporation,PHO,Water,2018-04-30,2018-07-09,67405810,671908,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,ECL,Ecolab Inc.,PHO,Water,2018-04-30,2018-07-09,72911094,503634,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,HON,Honeywell International Inc.,PPA,Defense,2018-04-30,2018-07-09,70750545,489014,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,MSFT,Microsoft Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,6615792,70742,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,NFLX,"Netflix, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,37543944,120156,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,48303122,214776,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,NVDA,NVIDIA Corporation,SMH,Semiconductor,2018-03-31,2018-06-08,54224019,234138,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,PYPL,"PayPal Holdings, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,8241719,110464,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-07-31,TSLA,"Tesla, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,97130717,330489,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,AAPL,Apple Inc.,ARKG,Biotechnology,2018-04-30,2018-06-27,42164436,255140,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,AAPL,Apple Inc.,SKYY,Cloud Computing,2018-06-30,2018-08-29,40016339,216176,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-03-31,2018-05-29,58798662,621222,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,AMZN,"Amazon.com, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,54321218,34685,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,APD,"Air Products and Chemicals, Inc.",PBW,Clean Energy,2018-04-30,2018-07-09,3318668,20449,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,AVGO,Broadcom Inc.,SMH,Semiconductor,2018-03-31,2018-06-08,53610846,227502,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,CSCO,"Cisco Systems, Inc.",CIBR,Cybersecurity,2018-06-30,2018-08-29,41460997,963537,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,CSCO,"Cisco Systems, Inc.",GRID,Infrastructure,2018-06-30,2018-08-29,709866,16497,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,CSCO,"Cisco Systems, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,72480722,1684423,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,DE,Deere & Company,ARKG,Biotechnology,2018-04-30,2018-06-27,2082052,15385,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,DHR,Danaher Corporation,CGW,Water,2018-05-31,2018-07-30,30051857,302698,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,DHR,Danaher Corporation,PHO,Water,2018-04-30,2018-07-09,67405810,671908,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,ECL,Ecolab Inc.,PHO,Water,2018-04-30,2018-07-09,72911094,503634,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,EQIX,"Equinix, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,77929170,181277,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_target_universe_name_match
2018-08-31,HON,Honeywell International Inc.,GRID,Infrastructure,2018-06-30,2018-08-29,686254,4764,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,HON,Honeywell International Inc.,PPA,Defense,2018-04-30,2018-07-09,70750545,489014,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,MSFT,Microsoft Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,6615792,70742,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,MSFT,Microsoft Corporation,SKYY,Cloud Computing,2018-06-30,2018-08-29,40302006,408701,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,NFLX,"Netflix, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,37543944,120156,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,NGG,National Grid plc,GRID,Infrastructure,2018-06-30,2018-08-29,241610,21836,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_target_universe_name_match
2018-08-31,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,48303122,214776,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,NVDA,NVIDIA Corporation,GRID,Infrastructure,2018-06-30,2018-08-29,661899,2794,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,NVDA,NVIDIA Corporation,SMH,Semiconductor,2018-03-31,2018-06-08,54224019,234138,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,ORCL,Oracle Corporation,GRID,Infrastructure,2018-06-30,2018-08-29,664469,15081,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,ORCL,Oracle Corporation,SKYY,Cloud Computing,2018-06-30,2018-08-29,67845791,1539850,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,PYPL,"PayPal Holdings, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,8241719,110464,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-08-31,TSLA,"Tesla, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,97130717,330489,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,AAPL,Apple Inc.,ARKG,Biotechnology,2018-04-30,2018-06-27,42164436,255140,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,AAPL,Apple Inc.,SKYY,Cloud Computing,2018-06-30,2018-08-29,40016339,216176,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-06-30,2018-09-06,62790757,677720,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,AMZN,"Amazon.com, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,54321218,34685,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,APD,"Air Products and Chemicals, Inc.",PBW,Clean Energy,2018-07-31,2018-09-28,3217075,19596,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,AVGO,Broadcom Inc.,SMH,Semiconductor,2018-03-31,2018-06-08,53610846,227502,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,CSCO,"Cisco Systems, Inc.",CIBR,Cybersecurity,2018-06-30,2018-08-29,41460997,963537,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,CSCO,"Cisco Systems, Inc.",GRID,Infrastructure,2018-06-30,2018-08-29,709866,16497,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,CSCO,"Cisco Systems, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,72480722,1684423,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,DE,Deere & Company,ARKG,Biotechnology,2018-04-30,2018-06-27,2082052,15385,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,DE,Deere & Company,MOO,Agribusiness,2018-06-30,2018-09-07,60673619,434003,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,DHR,Danaher Corporation,CGW,Water,2018-05-31,2018-07-30,30051857,302698,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,DHR,Danaher Corporation,PHO,Water,2018-07-31,2018-09-28,68685209,669577,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,DHR,Danaher Corporation,PIO,Water,2018-07-31,2018-09-28,15057410,146787,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,ECL,Ecolab Inc.,PHO,Water,2018-07-31,2018-09-28,65585194,466135,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,ECL,Ecolab Inc.,PIO,Water,2018-07-31,2018-09-28,14373208,102155,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,EQIX,"Equinix, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,77929170,181277,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_target_universe_name_match
2018-09-30,HON,Honeywell International Inc.,GRID,Infrastructure,2018-06-30,2018-08-29,686254,4764,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,HON,Honeywell International Inc.,PPA,Defense,2018-07-31,2018-09-28,73553788,460719,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,MSFT,Microsoft Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,6615792,70742,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,MSFT,Microsoft Corporation,SKYY,Cloud Computing,2018-06-30,2018-08-29,40302006,408701,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,NFLX,"Netflix, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,37543944,120156,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,NGG,National Grid plc,GRID,Infrastructure,2018-06-30,2018-08-29,241610,21836,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_target_universe_name_match
2018-09-30,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-04-30,2018-06-27,48303122,214776,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,NVDA,NVIDIA Corporation,GRID,Infrastructure,2018-06-30,2018-08-29,661899,2794,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-07-31,2018-09-27,20514861,83782,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,NVDA,NVIDIA Corporation,SMH,Semiconductor,2018-03-31,2018-06-08,54224019,234138,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,ORCL,Oracle Corporation,GRID,Infrastructure,2018-06-30,2018-08-29,664469,15081,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,ORCL,Oracle Corporation,SKYY,Cloud Computing,2018-06-30,2018-08-29,67845791,1539850,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,PYPL,"PayPal Holdings, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,8241719,110464,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-09-30,TSLA,"Tesla, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,97130717,330489,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,AAPL,Apple Inc.,ARKG,Biotechnology,2018-07-31,2018-10-02,6518194,34254,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,AAPL,Apple Inc.,SKYY,Cloud Computing,2018-06-30,2018-08-29,40016339,216176,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-06-30,2018-09-06,62790757,677720,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,APD,"Air Products and Chemicals, Inc.",PBW,Clean Energy,2018-07-31,2018-09-28,3217075,19596,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,AVGO,Broadcom Inc.,SMH,Semiconductor,2018-03-31,2018-06-08,53610846,227502,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,CSCO,"Cisco Systems, Inc.",CIBR,Cybersecurity,2018-06-30,2018-08-29,41460997,963537,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,CSCO,"Cisco Systems, Inc.",GRID,Infrastructure,2018-06-30,2018-08-29,709866,16497,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,CSCO,"Cisco Systems, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,72480722,1684423,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,DE,Deere & Company,MOO,Agribusiness,2018-06-30,2018-09-07,60673619,434003,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,DHR,Danaher Corporation,CGW,Water,2018-05-31,2018-07-30,30051857,302698,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,DHR,Danaher Corporation,PHO,Water,2018-07-31,2018-09-28,68685209,669577,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,DHR,Danaher Corporation,PIO,Water,2018-07-31,2018-09-28,15057410,146787,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,ECL,Ecolab Inc.,PHO,Water,2018-07-31,2018-09-28,65585194,466135,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,ECL,Ecolab Inc.,PIO,Water,2018-07-31,2018-09-28,14373208,102155,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,EQIX,"Equinix, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,77929170,181277,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_target_universe_name_match
2018-10-31,HON,Honeywell International Inc.,GRID,Infrastructure,2018-06-30,2018-08-29,686254,4764,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,HON,Honeywell International Inc.,PPA,Defense,2018-07-31,2018-09-28,73553788,460719,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,MSFT,Microsoft Corporation,SKYY,Cloud Computing,2018-06-30,2018-08-29,40302006,408701,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,NGG,National Grid plc,GRID,Infrastructure,2018-06-30,2018-08-29,241610,21836,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_target_universe_name_match
2018-10-31,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-07-31,2018-10-02,2469413,10085,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,NVDA,NVIDIA Corporation,GRID,Infrastructure,2018-06-30,2018-08-29,661899,2794,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-07-31,2018-09-27,20514861,83782,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,NVDA,NVIDIA Corporation,SMH,Semiconductor,2018-03-31,2018-06-08,54224019,234138,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,ORCL,Oracle Corporation,GRID,Infrastructure,2018-06-30,2018-08-29,664469,15081,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-10-31,ORCL,Oracle Corporation,SKYY,Cloud Computing,2018-06-30,2018-08-29,67845791,1539850,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,AAPL,Apple Inc.,ARKG,Biotechnology,2018-07-31,2018-10-02,6518194,34254,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,AAPL,Apple Inc.,SKYY,Cloud Computing,2018-06-30,2018-08-29,40016339,216176,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-09-30,2018-11-27,66510548,703220,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,APD,"Air Products and Chemicals, Inc.",PBW,Clean Energy,2018-07-31,2018-09-28,3217075,19596,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,AVGO,Broadcom Inc.,SMH,Semiconductor,2018-03-31,2018-06-08,53610846,227502,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,CSCO,"Cisco Systems, Inc.",CIBR,Cybersecurity,2018-06-30,2018-08-29,41460997,963537,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,CSCO,"Cisco Systems, Inc.",GRID,Infrastructure,2018-06-30,2018-08-29,709866,16497,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,CSCO,"Cisco Systems, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,72480722,1684423,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,DE,Deere & Company,MOO,Agribusiness,2018-06-30,2018-09-07,60673619,434003,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,DHR,Danaher Corporation,CGW,Water,2018-08-31,2018-11-08,30243413,292094,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,DHR,Danaher Corporation,PHO,Water,2018-07-31,2018-09-28,68685209,669577,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,DHR,Danaher Corporation,PIO,Water,2018-07-31,2018-09-28,15057410,146787,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,ECL,Ecolab Inc.,PHO,Water,2018-07-31,2018-09-28,65585194,466135,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,ECL,Ecolab Inc.,PIO,Water,2018-07-31,2018-09-28,14373208,102155,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-11-30,EQIX,"Equinix, Inc.",SKYY,Cloud Computing,2018-06-30,2018-08-29,77929170,181277,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_target_universe_name_match
