year,ticker,canonical_stock_id,valid_from,valid_to,source_name,source_url
2023,AAPL,NASDAQ100:AAPL,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,ABNB,NASDAQ100:ABNB,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,ADBE,NASDAQ100:ADBE,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,ADI,NASDAQ100:ADI,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,ADP,NASDAQ100:ADP,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,ADSK,NASDAQ100:ADSK,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,AEP,NASDAQ100:AEP,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,AMAT,NASDAQ100:AMAT,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,AMD,NASDAQ100:AMD,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,AMGN,NASDAQ100:AMGN,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,AMZN,NASDAQ100:AMZN,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,ANSS,NASDAQ100:ANSS,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,ASML,NASDAQ100:ASML,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,AVGO,NASDAQ100:AVGO,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,AZN,NASDAQ100:AZN,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,BIIB,NASDAQ100:BIIB,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,BKNG,NASDAQ100:BKNG,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,BKR,NASDAQ100:BKR,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CCEP,NASDAQ100:CCEP,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CDNS,NASDAQ100:CDNS,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CDW,NASDAQ100:CDW,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CEG,NASDAQ100:CEG,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CHTR,NASDAQ100:CHTR,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CMCSA,NASDAQ100:CMCSA,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,COST,NASDAQ100:COST,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CPRT,NASDAQ100:CPRT,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
2023,CRWD,NASDAQ100:CRWD,2023-01-01,2023-12-31,annual Nasdaq-100 constituent files supplied in exports,
