year,ticker,canonical_stock_id,valid_from,valid_to,source_name,source_url
2021,AAPL,NASDAQ100:AAPL,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ABNB,NASDAQ100:ABNB,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ADBE,NASDAQ100:ADBE,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ADI,NASDAQ100:ADI,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ADP,NASDAQ100:ADP,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ADSK,NASDAQ100:ADSK,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,AEP,NASDAQ100:AEP,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ALGN,NASDAQ100:ALGN,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,AMAT,NASDAQ100:AMAT,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,AMD,NASDAQ100:AMD,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,AMGN,NASDAQ100:AMGN,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,AMZN,NASDAQ100:AMZN,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ANSS,NASDAQ100:ANSS,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ASML,NASDAQ100:ASML,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,AVGO,NASDAQ100:AVGO,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,AZN,NASDAQ100:AZN,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,BIDU,NASDAQ100:BIDU,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,BIIB,NASDAQ100:BIIB,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,BKNG,NASDAQ100:BKNG,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CDNS,NASDAQ100:CDNS,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CEG,NASDAQ100:CEG,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CHTR,NASDAQ100:CHTR,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CMCSA,NASDAQ100:CMCSA,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,COST,NASDAQ100:COST,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CPRT,NASDAQ100:CPRT,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CRWD,NASDAQ100:CRWD,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CSCO,NASDAQ100:CSCO,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CSX,NASDAQ100:CSX,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CTAS,NASDAQ100:CTAS,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,CTSH,NASDAQ100:CTSH,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,DDOG,NASDAQ100:DDOG,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,DLTR,NASDAQ100:DLTR,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,DOCU,NASDAQ100:DOCU,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,DXCM,NASDAQ100:DXCM,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,EA,NASDAQ100:EA,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,EBAY,NASDAQ100:EBAY,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ENPH,NASDAQ100:ENPH,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,EXC,NASDAQ100:EXC,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,FAST,NASDAQ100:FAST,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,FTNT,NASDAQ100:FTNT,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,GEHC,NASDAQ100:GEHC,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,GILD,NASDAQ100:GILD,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,GOOG,NASDAQ100:GOOG,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,GOOGL,NASDAQ100:GOOGL,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,HON,NASDAQ100:HON,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,IDXX,NASDAQ100:IDXX,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ILMN,NASDAQ100:ILMN,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,INTC,NASDAQ100:INTC,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,INTU,NASDAQ100:INTU,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
2021,ISRG,NASDAQ100:ISRG,2021-01-01,2021-12-31,annual Nasdaq-100 constituent files supplied in exports,
