year,ticker,canonical_stock_id,valid_from,valid_to,source_name,source_url
2022,AAPL,NASDAQ100:AAPL,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ABNB,NASDAQ100:ABNB,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ADBE,NASDAQ100:ADBE,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ADI,NASDAQ100:ADI,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ADP,NASDAQ100:ADP,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ADSK,NASDAQ100:ADSK,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,AEP,NASDAQ100:AEP,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ALGN,NASDAQ100:ALGN,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,AMAT,NASDAQ100:AMAT,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,AMD,NASDAQ100:AMD,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,AMGN,NASDAQ100:AMGN,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,AMZN,NASDAQ100:AMZN,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ANSS,NASDAQ100:ANSS,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ASML,NASDAQ100:ASML,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,AVGO,NASDAQ100:AVGO,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,AZN,NASDAQ100:AZN,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,BIIB,NASDAQ100:BIIB,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,BKNG,NASDAQ100:BKNG,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,BKR,NASDAQ100:BKR,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CDNS,NASDAQ100:CDNS,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CEG,NASDAQ100:CEG,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CHTR,NASDAQ100:CHTR,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CMCSA,NASDAQ100:CMCSA,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,COST,NASDAQ100:COST,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CPRT,NASDAQ100:CPRT,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CRWD,NASDAQ100:CRWD,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CSCO,NASDAQ100:CSCO,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CSGP,NASDAQ100:CSGP,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CSX,NASDAQ100:CSX,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CTAS,NASDAQ100:CTAS,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,CTSH,NASDAQ100:CTSH,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,DDOG,NASDAQ100:DDOG,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,DLTR,NASDAQ100:DLTR,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,DXCM,NASDAQ100:DXCM,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,EA,NASDAQ100:EA,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,EBAY,NASDAQ100:EBAY,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,ENPH,NASDAQ100:ENPH,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,EXC,NASDAQ100:EXC,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,FANG,NASDAQ100:FANG,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,FAST,NASDAQ100:FAST,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,FTNT,NASDAQ100:FTNT,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
2022,GEHC,NASDAQ100:GEHC,2022-01-01,2022-12-31,annual Nasdaq-100 constituent files supplied in exports,
