date,canonical_stock_id,ticker,stock_code,stock_name,exchange,classification_standard,classification_version,industry_category,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_code,change_date,source,record_status
2019-10-31,CMIN-CN:601766.SH,601766.SH,601766,中国中车,SH,申银万国行业分类标准,SW2014,机械设备,机械设备,轨交设备Ⅱ,轨交设备Ⅲ,轨交设备Ⅲ,S640501,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601390.SH,601390.SH,601390,中国中铁,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601800.SH,601800.SH,601800,中国交建,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601319.SH,601319.SH,601319,中国人保,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,保险Ⅱ,保险Ⅲ,保险Ⅲ,S490201,2018-10-29,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601628.SH,601628.SH,601628,中国人寿,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,保险Ⅱ,保险Ⅲ,保险Ⅲ,S490201,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601698.SH,601698.SH,601698,中国卫通,SH,申银万国行业分类标准,SW2014,国防军工,国防军工,航天装备Ⅱ,航天装备Ⅲ,航天装备Ⅲ,S650101,2019-06-10,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601111.SH,601111.SH,601111,中国国航,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601601.SH,601601.SH,601601,中国太保,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,保险Ⅱ,保险Ⅲ,保险Ⅲ,S490201,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:600176.SH,600176.SH,600176,中国巨石,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601318.SH,601318.SH,601318,中国平安,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,保险Ⅱ,保险Ⅲ,保险Ⅲ,S490201,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:003816.SZ,003816.SZ,003816,中国广核,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601668.SH,601668.SH,601668,中国建筑,SH,申银万国行业分类标准,SW2014,建筑装饰,建筑装饰,房屋建设Ⅱ,房屋建设Ⅲ,房屋建设Ⅲ,S620101,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601985.SH,601985.SH,601985,中国核电,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601728.SH,601728.SH,601728,中国电信,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601669.SH,601669.SH,601669,中国电建,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600028.SH,600028.SH,600028,中国石化,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601857.SH,601857.SH,601857,中国石油,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601088.SH,601088.SH,601088,中国神华,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600050.SH,600050.SH,600050,中国联通,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601868.SH,601868.SH,601868,中国能建,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600150.SH,600150.SH,600150,中国船舶,SH,申银万国行业分类标准,SW2014,国防军工,国防军工,航海装备Ⅱ,航海装备Ⅲ,航海装备Ⅲ,S650401,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:688009.SH,688009.SH,688009,中国通号,SH,申银万国行业分类标准,SW2014,机械设备,机械设备,轨交设备Ⅱ,轨交设备Ⅲ,轨交设备Ⅲ,S640501,2019-07-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601989.SH,601989.SH,601989,中国重工,SH,申银万国行业分类标准,SW2014,,国防军工,船舶制造,船舶制造,,650401,2014-01-01,https://money.finance.sina.com.cn/corp/go.php/vCI_CorpOtherInfo/stockid/601989.phtml;https://www.weistock.com/docs/Financial/notes/%E7%94%B3%E4%B8%87%E5%88%86%E7%B1%BB.html,external_imputed_cninfo_missing_sw2014
2019-10-31,CMIN-CN:601186.SH,601186.SH,601186,中国铁建,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601600.SH,601600.SH,601600,中国铝业,SH,申银万国行业分类标准,SW2014,有色金属,有色金属,工业金属,铝,铝,S240301,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601881.SH,601881.SH,601881,中国银河,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,证券Ⅱ,证券Ⅲ,证券Ⅲ,S490101,2016-12-26,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601988.SH,601988.SH,601988,中国银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:000066.SZ,000066.SZ,000066,中国长城,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:688012.SH,688012.SH,688012,中微公司,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600918.SH,600918.SH,600918,中泰证券,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601808.SH,601808.SH,601808,中海油服,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600872.SH,600872.SH,600872,中炬高新,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601898.SH,601898.SH,601898,中煤能源,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:002129.SZ,002129.SZ,002129,中环股份,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:603019.SH,603019.SH,603019,中科曙光,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:000157.SZ,000157.SZ,000157,中联重科,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:002179.SZ,002179.SZ,002179,中航光电,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600760.SH,600760.SH,600760,中航沈飞,SH,申银万国行业分类标准,SW2014,国防军工,国防军工,航空装备Ⅱ,航空装备Ⅲ,航空装备Ⅲ,S650201,2018-07-13,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:000768.SZ,000768.SZ,000768,中航西飞,SZ,申银万国行业分类标准,SW2014,国防军工,国防军工,航空装备Ⅱ,航空装备Ⅲ,航空装备Ⅲ,S650201,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:688981.SH,688981.SH,688981,中芯国际,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601919.SH,601919.SH,601919,中远海控,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601995.SH,601995.SH,601995,中金公司,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600489.SH,600489.SH,600489,中金黄金,SH,申银万国行业分类标准,SW2014,有色金属,有色金属,贵金属,黄金,黄金,S240401,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601696.SH,601696.SH,601696,中银证券,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
