date,src_ticker,dst_ticker,relation_type,gics_level,shared_industry_name,edge_weight,source,record_status
2020-01-31,AMD,INTC,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,KLAC,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,LRCX,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,MCHP,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,MU,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,NVDA,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,QCOM,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,SWKS,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMD,TXN,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMGN,BIIB,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMGN,GILD,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMGN,INCY,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMGN,REGN,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMGN,VRTX,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMZN,BKNG,same_gics_industry,industry,Internet & Direct Marketing Retail,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AMZN,EBAY,same_gics_industry,industry,Internet & Direct Marketing Retail,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,ANSS,CDNS,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,ANSS,INTU,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,ANSS,MSFT,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,ANSS,SNPS,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,INTC,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,KLAC,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,LRCX,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,MCHP,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,MU,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,NVDA,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,QCOM,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,SWKS,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,AVGO,TXN,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,BIIB,GILD,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,BIIB,INCY,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,BIIB,REGN,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,BIIB,VRTX,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,BKNG,EBAY,same_gics_industry,industry,Internet & Direct Marketing Retail,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CDNS,INTU,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CDNS,MSFT,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CDNS,SNPS,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CHTR,CMCSA,same_gics_industry,industry,Media,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
