date,ticker,company_name,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,revision_id,revision_date,source,record_status
2022-08-31,CSX,CSX,Industrials,Transportation,Road & Rail,Railroads,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,CTAS,Cintas,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,CTSH,Cognizant,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,DDOG,"Datadog, Inc.",,,,,,,,missing_gics
2022-08-31,DLTR,Dollar Tree,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,DXCM,Dexcom,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,EA,Electronic Arts,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,EBAY,eBay,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ENPH,Enphase,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,EXC,Exelon,Utilities,Utilities,Multi-Utilities,Multi-Utilities,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,FANG,Diamondback Energy,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,FAST,Fastenal,Industrials,Capital Goods,Building Products,Building Products,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,FTNT,Fortinet,Information Technology,Software & Services,Software,Systems Software,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,GEHC,GE HealthCare Technologies Inc.,,,,,,,,missing_gics
2022-08-31,GFS,GLOBALFOUNDRIES Inc.,,,,,,,,missing_gics
2022-08-31,GILD,Gilead Sciences,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,GOOG,Alphabet Inc. (Class C),Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,GOOGL,Alphabet Inc. (Class A),Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,HON,Honeywell,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,IDXX,Idexx Laboratories,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ILMN,Illumina,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,INTC,Intel,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,INTU,Intuit,Information Technology,Software & Services,Software,Application Software,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ISRG,Intuitive Surgical,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,JD,"JD.com, Inc.",,,,,,,,missing_gics
2022-08-31,KDP,Keurig Dr Pepper,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,KHC,Kraft Heinz,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,KLAC,KLA Corporation,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,LCID,"Lucid Group, Inc.",,,,,,,,missing_gics
2022-08-31,LRCX,Lam Research,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,LULU,lululemon athletica inc.,,,,,,,,missing_gics
2022-08-31,MAR,Marriott International,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,MCHP,Microchip Technology,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,MDLZ,Mondelez International,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,MELI,MERCADOLIBRE INC,,,,,,,,missing_gics
2022-08-31,META,Meta Platforms,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,MNST,Monster Beverage,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,MRNA,Moderna,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,MRVL,"Marvell Technology, Inc.",,,,,,,,missing_gics
2022-08-31,MSFT,Microsoft,Information Technology,Software & Services,Software,Systems Software,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,MU,Micron Technology,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,NFLX,Netflix,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,NVDA,Nvidia,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,NXPI,NXP Semiconductors,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ODFL,Old Dominion,Industrials,Transportation,Road & Rail,Trucking,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ON,ON Semiconductor,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,PANW,Palo Alto Networks Inc,,,,,,,,missing_gics
2022-08-31,PAYX,Paychex,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,PCAR,Paccar,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,PDD,PDD Holdings Inc.,,,,,,,,missing_gics
2022-08-31,PEP,PepsiCo,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,PYPL,PayPal,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,QCOM,Qualcomm,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,REGN,Regeneron,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ROST,Ross Stores,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,SBUX,Starbucks,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,SGEN,Seagen Inc.,,,,,,,,missing_gics
2022-08-31,SIRI,SIRIUS XM HOLDINGS INC.,,,,,,,,missing_gics
2022-08-31,SNPS,Synopsys,Information Technology,Software & Services,Software,Application Software,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,TEAM,Atlassian Corp,,,,,,,,missing_gics
2022-08-31,TMUS,T-Mobile US,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,TTD,"Trade Desk, Inc.",,,,,,,,missing_gics
2022-08-31,TXN,Texas Instruments,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,VRSK,Verisk,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,VRTX,Vertex Pharmaceuticals,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,WBA,Walgreens Boots Alliance,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,WBD,Warner Bros. Discovery,Communication Services,Media & Entertainment,Media,Broadcasting,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,WDAY,"Workday, Inc.",,,,,,,,missing_gics
2022-08-31,XEL,Xcel Energy,Utilities,Utilities,Multi-Utilities,Multi-Utilities,1107350164.0,2022-08-29T14:53:54Z,https://en.wikipedia.org/w/index.php?oldid=1107350164,matched_gics
2022-08-31,ZM,"Zoom Communications, Inc.",,,,,,,,missing_gics
2022-08-31,ZS,"Zscaler, Inc.",,,,,,,,missing_gics
2022-09-30,AAPL,Apple Inc.,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ABNB,"Airbnb, Inc.",,,,,,,,missing_gics
2022-09-30,ADBE,Adobe Inc.,Information Technology,Software & Services,Software,Application Software,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ADI,Analog Devices,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ADP,ADP,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ADSK,Autodesk,Information Technology,Software & Services,Software,Application Software,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,AEP,American Electric Power,Utilities,Utilities,Electric Utilities,Electric Utilities,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ALGN,Align Technology,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,AMAT,Applied Materials,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,AMD,AMD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,AMGN,Amgen,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,AMZN,Amazon,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ANSS,Ansys,Information Technology,Software & Services,Software,Application Software,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ASML,ASML HOLDING NV,,,,,,,,missing_gics
2022-09-30,AVGO,Broadcom Inc.,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,AZN,ASTRAZENECA PLC,,,,,,,,missing_gics
2022-09-30,BIIB,Biogen,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,BKNG,Booking Holdings,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,BKR,Baker Hughes,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CDNS,Cadence Design Systems,Information Technology,Software & Services,Software,Application Software,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CEG,Constellation Energy,Utilities,Utilities,Multi-Utilities,Multi-Utilities,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CHTR,Charter Communications,Communication Services,Media,Media,Cable & Satellite,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CMCSA,Comcast,Communication Services,Media,Media,Cable & Satellite,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,COST,Costco,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CPRT,Copart,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CRWD,"CrowdStrike Holdings, Inc.",,,,,,,,missing_gics
2022-09-30,CSCO,Cisco,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CSGP,CoStar Group,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CSX,CSX,Industrials,Transportation,Road & Rail,Railroads,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CTAS,Cintas,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,CTSH,Cognizant,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,DDOG,"Datadog, Inc.",,,,,,,,missing_gics
2022-09-30,DLTR,Dollar Tree,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,DXCM,Dexcom,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,EA,Electronic Arts,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,EBAY,eBay,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
2022-09-30,ENPH,Enphase,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,1113035208.0,2022-09-29T11:20:05Z,https://en.wikipedia.org/w/index.php?oldid=1113035208,matched_gics
